woarzoo	waarzo
schâmel	bedeesd, schroomvallig
bedegend	bedegen
bedegen	bedegen
bedekken	bedekken
paandekt	bedekt met dakpannen
bedel	bedel
nachtbidder, schooierlapzak	bedelaar
schooierlapzak, nachtbidder	bedelaar
bedelderei	bedelarij
bedeldeken	bedeldeken
bedeldeken	bedeldeken
bedailen	bedelen
schontjen, sloeren, slovven, strovveln	bédelen, sloffen
bedenk	bedenk
bedenken	bedenken
bedinken	bedenken
oetbedenken, oetfigelaaiern, opbedenken	bedenken
oetfigelaaiern, oetbedenken, opbedenken	bedenken
opbedenken, oetbedenken, oetfigelaaiern	bedenken
opbedenken	bedenken
bedenkens	bedenking
bedenksel, opbedenksel	bedenksel
bedenksel	bedenksel
bedaarf	bederf
verpeuteren	bederven
bedarven	bederven
bedaarven	bederven
haals	bederven
karreln, kelen, schivven	bederven (v. melk), schiften
bedarven	bederven, behoeven
verkomen	bederven, verloren gaan
bergoanstied	bedgaanstijd
berstreept, berbuur	bedgestreept
bergedienen, ber, gedienen	bedgordijn
bergedienen	bedgordijnen
bedainde	bediende
bedijnen	bedienen
bedainen	bedienen
bedijen	bedijen
bediekt	bedijkt
smelig	bedillend
bedingen	bedingen
bedingen	bedingen
bedusseln	bedisselen
beduzzeln	bedisselen
kloetjebakken, beduzzeln, flontjen, knooien, knottjen, kudeln, slentern	bedisselen, knoeien
beduzzeln, kloetjebakken, suzzen	bedisselen, sussen
legerachteg, legerg	bedlegerig, liggend (graan)
berlichter, baier	bedlichter
bèrlichter	bedlichter
bermoaken	bedmaken
bermantel, scholdermantel	bedmantel
bedoulen	bedoelen
bedoulen, mainen, mienen	bedoelen
mainen, bedoulen, mienen	bedoelen, menen
mienen, bedoulen, mainen	bedoelen, menen
bedoulen	bedoeling
bedogen	bedogen
benaauwd	bedompt, gierig
bedondern	bedonderen
bedonken, bedongen, dong	bedongen
bedongen	bedongen
verlegen	bedorven
verworden	bedorven
bedôrm	bedorven
gaalsterg, filaain, filaaineg, galleg, gemain, gemien, lapperg, rens, rötterg, versloagen, vilaain, voel	bedorven, gemeen, ranzig
galleg, aandoan, filaain, filaaineg, gaalsterg, gemain, gemien, kepot, lapperg, rötterg, versloagen, vilaain, voel, zaik	bedorven, gemeen, ziek
aanstoken, haalfzeuven	bedorven, licht -, tipsy
versloagen, gaalsterg, galleg	bedorven, verslagen
bedotjen	bedotten
bedogen, bedoven	bedoven
bedrag	bedrag
bedroagen	bedragen
bedraaigen	bedreigen
druwinge	bedreiging
befoeseld	bedremmeld
foek	bedremmeld
ridder sloagen	bedremmeld
sloeps, luddek, luk	bedremmeld
luddek, klaain, luk, lut, lutek, lutteg, luttek, luutk, neukerg, onneuzel, sloeps	bedremmeld, klein
luk, klaain, luddek, lut, lutek, lutteg, luttek, luutk, neukerg, onneuzel, sloeps	bedremmeld, klein
bedreven, bedrieven, drieven	bedreven
verrifelen	bedriegen
bedreugen	bedriegen
belotjen, belazern, beloazern, besaigeln, besodemietern, smiegeln	bedriegen
bemietern	bedriegen
besaibeln, besijbeln (Stad )	bedriegen
besaigeln, belazern, beloazern, belotjen, besodemietern, smiegeln	bedriegen
beschelm	bedriegen
besodemietern, belazern, beloazern, belotjen, besaigeln, smiegeln	bedriegen
smiegeln, belazern, beloazern, belotjen, besaigeln, besodemietern	bedriegen
bedraigen, bedriegen, belotjen, bemietern, knooien, neppen, smiegeln, verneuken	bedriegen
bedriegen, bedraigen, belotjen, bemietern, knooien, neppen, smiegeln, verneuken	bedriegen
belotjen, bedraigen, bedriegen, bemietern, knooien, neppen, smiegeln, verneuken	bedriegen
bemietern, bedraigen, bedriegen, belotjen, knooien, neppen, smiegeln, verneuken	bedriegen
smiegeln, bedraigen, bedriegen, belotjen, bemietern, knooien, neppen, verneuken	bedriegen
verneuken, bedraigen, bedriegen, belotjen, bemietern, knooien, neppen, smiegeln	bedriegen
verneuken	bedriegen
beloazern, belazern, belotjen, besaigeln, besodemietern, smiegeln	bedriegen, belazeren
vernaggelen	bedriegen, oplichten
neppen, bedraigen, bedriegen, belotjen, bemietern, gappen, knooien, nasjen, nasken, nastern, smiegeln, stelen, verneuken	bedriegen, stelen
kraivelder, knooier, schobberd	bedrieger
schobberd, gròfmelenschobberd, knooier, kraivelder	bedrieger
laplander, kraivelder, lapperd, schobberd	bedrieger
lapperd, kraivelder, laplander, schobberd	bedrieger
kraivelder, hikhak, laplander, lapperd, schobberd	bedrieger, kibbelaar
schobberd, kraivelder, laplander, lapperd, poterd	bedrieger, persoon, stevig -
bedrief	bedrijf
bedrief, boudel	bedrijf
konterboer	bedrijfsleider (beperkt bevoegd)
bedrieven, drieven	bedrijven
bedrieveg	bedrijvig
kiepeg, kieperg, astrant, biederhaand, gozzel, kibbeg, kiebeg, klouk, toek	bedrijvig, bijdehand
bedrongen	bedringen
bedrinken	bedrinken
bedruifd, heun, muielk	bedroefd
heun, bedruifd, blaik, bliek, blier, muielk, witbekt	bedroefd, bleek
muielk, bedruifd, begrodelk, heun, muidelk, muieg, schaande, schane, spiedelk	bedroefd, jammer, spijtig
allerbedruifdst	bedroefd, meer dan -
bekukelderij, lapperij, verneukerij	bedrog
verneukerij, bekukelderij, lapperij	bedrog
lapperij, bekukelderij, verneukerij	bedrog, broddelwerk
bedreugen, bedrogen	bedrogen
verriefeld	bedrogen
bedrongen, bedrongd, bedringd, benopen	bedrongen
bedrokken	bedrukken
bedrukt, bedrongen	bedrukt
bedrokt	bedrukt
bedstee	bedstede
berstee	bedstee
bersdeùren	bedsteedeur
bersteeschoonen	bedsteeschonen
berstroo	bedstro
berstro	bedstro
bergoanstied	bedtijd
bèrgoanstied, bèrregangerstied	bedtijd
bèrregangerstied, bèrgoanstied	bedtijd
berregoans tied	bedtijd
beduden, bedoun	beduiden
bedoesd, bedoezeld, doezeg	beduizeld
Beem (in)	Bedum
Bemer	Bedumer
bedonken, bedogen	bedunken
bedoeren, biedoeren, begrooten, bie	beduren
bedoesd, bedoezeld	bedwelmd, versuft
eeden	beëdigen
beefespe	beefesp
deurzetten, deurtoaveln	beëindigen, doorzetten
bild (Ww.)	beeld
toengras	beemdgras
bein	been
bijn, bonk, golden, n, piepen	been
bijn, ijn	been
bijnen	been
bain, bien	been
bien, bain	been
schonk	been, grof -
baineg	been, op de -
bijnbonk, bonk	beenbonk
bijndert, elpenbijn	beender
baindermeel	beendermeel
bijnig, bainig	beenig
baintjewippen, striekjebainen	beentjelichten
striekjebainen, baintjewippen	beentjelichten
baintjewippen, knikkebaintjen, pootjeflippen, pootjen, striekjebainen	beentjelichten
knikkebaintjen, baintjewippen, pootjeflippen, pootjen, striekjebainen	beentjelichten
pootjeflippen, baintjewippen, knikkebaintjen, pootjen, striekjebainen	beentjelichten
striekjebainen, baintjewippen, knikkebaintjen, pootjeflippen, pootjen	beentjelichten
bijntjewippen, strikbijntjen	beentjewippen
beer, bere	beer
beer, masterbatje	beer
beer	beer
beere snieden	beer snijden
orkebeer, ortbeer, ortjebeer	beer, gesneden -
ortbeer, orkebeer, ortjebeer	beer, gesneden -
ortjebeer, orkebeer, ortbeer	beer, gesneden -
beer	beer, man, ruwe -, persoon, grof gebouwd -, persoon, wild -
berenbörger kruden	beerenburger kruiden
Beerte (in)	Beerta
Hörn (in)	Beerta, Nieuw -
beeroel, oel	beeruil
beaarven	beërven
bijst, beet, bijt, swien	beest
bijsten, baisten, bijssies, bijssien	beest
beet, bait, bijt, bijst, biet	beest
kwoade bijst, kwoaie bijst	beest
bijssien	beest
bijst	beest
baist	beest
baist	beest
baist, boekou, koe, kou, koubaist	beest, koe
bonkerd, bonk	beest, mager -
baistachteg	beestachtig
bijstelk	beestelijk
bijstemark, bijstemart, baistemark, baistemart	beestemarkt
baistn-snieder, sjouget	beestensnijder
bijssien	beestje
baistje	beestje
biet	beet
biet, beet	beet
bieten	beet
beet	beet
biet	beet (vissen)
beetje, bietje, beedien, biet	beetje
bijtje	beetje
bedie, biet, bietje, snittje, snobbeltje	beetje
bietje, biet, bedie, snittje, snobbeltje	beetje
snittje, bedie, biet, bietje, snobbeltje	beetje
snobbeltje, bedie, biet, bietje, snittje	beetje
beetken	beetje
krummeln, kroemeln, krommels, krumeln	beetje voor beetje eten, bestellen e.d., kruimelen
flortje, flottje	beetje, een -
flottje, flortje, misbrudsel	beetje, een -, misbaksel
aanpakken	beetpakken
bijtwortels, bijtwōrtels, roobijten	beetwortel
bef	bef
bef	bef
befommeln	befommelen
befommeln	befrommelen
befoesd, befoezeld	befuusd
begoan, betrekken	begaan
begoan	begaan
begangen	begaan, gepleegd
begoanboar	begaanbaar
begappen, gappen	begapen
begeerelk	begeerlijk
begeerlek	begeerlijk.
begeerte, begeren	begeerte
begeeren	begeren
begereg, grabeg, groapeg	begerig
vergrèld, verbraand	begerig naar, zeer -, boos, zeer -
groapeg, aigenikkeg, begereg, grabeg, grobbeg, ienkrabeg, onnask	begerig, inhalig
grabeg, begereg, dosterg, groapeg, niedeg	begerig, nijdig
verbraand, iemeg, nieds, niedsk, radneersd, vergrèld, voel, waarkgiereg, waarkzuchteg	begerig, zeer -, boos, zeer -, ijverig, verbrand
begeven	begeven
begieren	begieren
begiete, begieteg	begiete
begiftegen	begiftigen
begienken	begijnen
begienebrood	begijnenbrood
anbegin	begin
andop	begin
begun	begin
begun	begin
aanbegun	begin, het eerste -
begunnen	beginnen
begunnen	beginnen
begunnen, aangoan, aankomen, hìngoan, vegen, in -	beginnen
vegen, (der) in -	beginnen, best, zʼn - doen
aangoan, aankomen, aggewaaiern, begunnen, deurgoan, hìngoan, kettermenten, vegen, in -	beginnen, doorgaan, tekeer gaan
hìngoan, aangoan, aankomen, begunnen, vegen, in -	beginnen, heengaan
begleeren, gleeren	begleren
begleren	begleren
begloepen	begluipen
begloepen, bekuren	begluren
bekuren, begloepen	begluren
begonioa	begonia
bekeukeln	begoochelen
begosseld, gossel	begosseld
begraffenis, begraftenis	begrafenis
begrafnis, begraftenis	begrafenis
begraftenis of begraftnis	begrafenis
begraffenis, begraftenis, begroafenis, udegst, udegste, utegst, utegste, uterst	begrafenis
begroafenis, begraffenis, begraftenis, udegst, udegste, utegst, utegste, uterst	begrafenis
udegste, udegst, begraffenis, begraftenis, begroafenis, utegst, utegste, uterst	begrafenis
utegste, utegst, begraffenis, begraftenis, begroafenis, udegst, udegste, uterst	begrafenis
uterst, begraffenis, begraftenis, begroafenis, udegst, udegste, utegst, utegste	begrafenis
doodsonkòsten	begrafeniskosten
udegstmoal	begrafenismaal
begroapen, begieren	begrapen
begroaven	begraven
begroaven	begraven
swetten	begrenzen, aangrenzen
begreppen, begruppen	begreppelen
begrijmen, begreimen, begraimen, begremen, grijmen	begrijmen
begrijmen	begrijmen
begriepen	begrijpen
begrepen, verzijn	begrijpen
begriepen	begrijpen
bevatten	begrijpen
begriepen, vuilen	begrijpen
vuilen, begriepen, vulen	begrijpen, voelen
begripsoam, begripsom	begrijpzaam
begripsoam, onbegripsoam	begrijpzaam
begrootelk, begrooten	begrotelijk
begrootluk	begrotelijk
begrooten, belutjen	begroten
begrooten, belutjen	begroten
begroetjen, groetjen	begruiten
begunstegen	begunstigen
begunstegen	begunstigen
behoard	behaard
behoagelk	behagelijk
loenen	behagen
behoagen	behagen
behoalen	behalen
behelstern	behalsteren
behalm, behalven	behalve
behalven, behalm	behalve
behaalven, as	behalve
offrontaaiern	behandelen, slecht -
behang	behang
behang	behang
behongen, behang	behangen
behandjen	behappen
beharden	beharden
behaartegen	behartigen
behaspeln	behaspelen
behaspeln	behaspelen
keduksie, keduks	beheer
bedapperen	beheersen
beime, beimer	beheime
beheime	beheime
beheksen	beheksen
behelpen	behelpen
vervaten	behelzen, bevatten
behemmeln	behemelen
beheng, behèn	behendig
berèd	behept
behut, verheerd, verhilderd	behoed
verlet, behuifte	behoefte
behuifte, scheel, schelen, scheling, verlet	behoefte, gebrek
behuiven	behoeven
huiwen	behoeven, verplicht zijn
beheunen, heun	behonen
beheurelk, fersounelk	behoorlijk
adinlek	behoorlijk
mooi	behoorlijk, nogal
heuren, lustern, luustern, roazen	behoren, horen, klinken, luisteren, toebehoren
behollen smeer	behouden smeer
konzervetief	behoudend
beholdzoam	behoudzaam
behoesd, behuisd	behuisd
behoezen, behûizen	behuizen
behoezen, en	behuizing
behelp	behulp
behulpsoam, redsoam	behulpzaam
behulpsoam, redsoam	behulpzaam
hulpzoam	behulpzaam
behulpzoam, hulpzoam	behulpzaam, hulpbehoevend
beien	bei
beien	bei
baid	beide
baiden, tweibaiden	beide
baiden, tweibaiden	beide
baaide	beide
baidegoar, baid	beidegaar
baaid, baaidegoar, baaiden, baaident	beiden, beide
baaidegoar, baaid, baaiden, baaident	beiden, beide
baaident, baaiden, aalbaaiden, aalbaaident, baaid, baaidegoar	beiden, beide, allebei
baitjes, tweibaiden	beidjes
baier, baiern	beier
baiern, bantjen	beieren
Baaiem	Beijum
bijze	beis
beis	beis
beis	beis
beis	beis
beis hebben	beis hebben
baaidel, baaitel	beitel
baaidel, baaitel	beitel
baaitel, baaidel	beitel
baitelaid, aid	beiteleg
baitelaid, kettenaid	beiteleg
baaideln, baaiteln	beitelen
bejoard	bejaard
bejacht	bejacht
bejacht	bejacht
bejegen, en	bejegenen
bejeuzeln	bejeuzelen
bek, an zetten, bekgau, bekje, grootbek, grootsnoete	bek
bek	bek
bek-òf	bek-af
bekoanen, koanen	bekanen
bekarren	bekarnen
bekìnd, kundeg	bekend
kundeg, bekìnd	bekend, kundig
bekend stoan	bekendstaan
bekennen	bekennen
bekennen	bekennen
beker	beker
veraandern	bekeren, veranderen
omgeven, z.	bekeren, z.
z. omgeven	bekeren, z.
betjirmen	bekermen
bekeukeln, keukeln	bekeukelen
bekeuren, bekoren	bekeuren
bekeuren	bekeuren
persès	bekeuring
bekgau	bekgauw
uetschuren	bekijven
bekkien, bekje, bektje, bek	bekje
bekje	bekje
bekken	bekken
bekken	bekken
bekkesnieden	bekkensnijden
bekkesnieder, bekkesnieden	bekkensnijder
bekkert	bekker
beklarren	bekladden
bekloddern	bekladden
beklaren, beklaaien	bekladden
beklaaien, beklaren	bekladden, klei brengen over
bejeuzeln	beklagen
beklaien, woulen	bekleien
beklaien, woul	bekleien
bekleiing, beklaien	bekleiing
beklembrijf, beklemrecht	beklembrief
beklemd, beklemming, beklemrecht	beklemd
beklemming, geschenk	beklemming
beklemrecht	beklemrecht
bekletsen, belullen	bekletsen
bekliefelk, spruten	beklijfelijk
beklingen, beklinken	beklinken
beklinken	beklinken
inlakkaaiern, ienlekaaiern, ienlaksaaiern (Hl.)	beklinken, krimpen
bekloddern, begrijmen	beklodderen
bekloppen	bekloppen
benepen	beknepen
beknutern	bekneuteren
beknibbeln, ofknibbeln	beknibbelen
beknibbeln	beknibbelen
bekrìnzeln	beknibbelen op
beknooien	beknoeien
beknokkeln	beknokkelen
beknopen, benopen	beknopen
bekoft	bekocht
bekuren, kuren	bekoeren
bekookt	bekoken
bekolm	bekolm
miskomen	bekomen, slecht -
valen, mietern	bekomen, uitkomen, vallen
bekomst, goie -	bekomst, goede -
bekonkelfoezen, bekonkeln	bekonkelen
bekonkelfoezen, bekonkeln	bekonkelen
bekonkeln, bekonkelfoezen	bekonkelen
bekörten, bekorten	bekorten
bekproaten, bekproten, mondjeproaten	bekpraten
bekproater	bekprater
bekrabben	bekrabben
bekrijveln, bekraiveln	bekrevelen
niipsch	bekrompen, gierig
keudelg, knovvelachteg, stommelachteg, stommelg, stovvelachteg	bekrompen, onhandig
bekroepen	bekruipen
bekroepken, bekruupken, piebeziedjen	bekruipen
beksmeerder, bekproater	beksmeerder
bekstok, bekstuk, bekkert	bekstuk
bekulpen, kulpers	bekulpen
kifkederij	bekvechterij
kifkederij, aibels, drokte, geberebiet, gehavvel, heibels, hikhakkerderij, hikhakkerij, hirrewirderij, kribberij, kwestie, kwezzie, kwezziederij, ommoi, ommui, rebulie, roezie, ruzie, verschil	bekvechterij, ruzie
bekweem	bekwaam
bekwoam, onbekwoam	bekwaam
bekwoam	bekwaam
bekweem, bekweemkes, bekweempjes	bekwaam
bekweemtjes, bekweempjes, bekweem	bekwaampjes
bekwengeln, begrijmen	bekwengelen
belle, bel	bel
bel	bel
kluun, kluunder	bel (op slee)
kluunder, kluun	bel (op slee)
bèlle, bèl, floddergat, flont, flort, lèl, lèlle, lor, palt, polt, slodder-elske, tjont, tjonte, tont, tonte	bel, vod, vrouw, slordige -
belapperd	belabberd
belabberd	belabberd
belakschauen, lakschauen	belakschouwen
belannen	belanden
aanbelanden	belanden
belang	belang
belang	belang
pertansie	belang
dat wat is	belang, van -
belangriek, loat	belangrijk, laat
laifhebber, beminder	belangstellende, liefhebber
belappen	belappen
belappen	belappen
belastboar	belastbaar
belastern	belasteren
belasten, sinzen	belasting
sinzen, belasten	belasting
belastîngspampier, belastîngspompier, pampier	belastingpapier
beloazerd, beloasterd	belazerd
beloazerd	belazerd
beleg	beleg
beleg	beleg
belegern	belegeren
beleggen	beleggen
uetdoun, geld -	beleggen, geld -
beleeren, onbeleerd	beleren
beleeren	beleren
beleren	beleren
belet doun	belet
behinderen	beletten
belgeraide, geraide	belgerij
belhoamel	belhamel
belhoamel, belhoamer	belhamel
belaigen	beliegen
blijven, belijven	believen
blieft	believen
blieven, asjoeblaift!	believen
blaiven, blieven	believen
blieven, blaiven	believen, blijven
belieden, zich	belijden
belieden	belijden
bélá	bella
bellen, lellebel	bellen
bobbeltjebloazen, brobbeln	bellen blazen
brobbeln, bobbeltjebloazen, goddeln, gorreln	bellen blazen, borrelen
bellerg, bellen	bellerig
Bennewolle (in)	Bellingwolde
belochemd	belochemd
bekulpen	beloeren
lakschaauwen	beloeren
lofte	belofte
Poask, Lutje -	Beloken Pasen
Poaske, Lutje -	Beloken Pasen
belonen	belonen, beloning
beloopen	belopen
belopen	belopen, vochtig worden (met kringen)
belotjed, belotjet	belot
entheten, ontheten	beloven
ontheten	beloven
beloven	beloven
touzeggen, verzeggen	beloven
verzeggen, touzeggen	beloven
belslee, belslede	belslee
belslee	belslee
belster, eelsk	belster
belustern, lustern	beluisteren
belustern	beluisteren
belukken, bedegend	belukken
belukt, bedegend	belukt
belullen	belullen
belusten	belusten
belutjen, begrooten, luttîk	belutten
belutjen, begrooten	belutten
bemand	bemand
bemand	bemand
bemarken	bemerken
bemaarken	bemerken
bemissen, mis	bemesten
bemizzen	bemesten
misken, mizzen	bemesten
mizzen, misken, oetmizzen	bemesten, uitmesten
bemeten	bemeten
bemiegen, miegen	bemiegen
bemietern, mieterg, mietert	bemieteren
bemoudern	bemoederen
bemoudegen	bemoedigen
aalbestel	bemoeial
aalbestel	bemoeial
bemuien, z.	bemoeien, z.
z. bemuien	bemoeien, z.
bemuienis, muien	bemoeienis
beredderg	bemoeiziek
bemundern	bemontering
begraimen, besmikken	bemorsen
besmikken, begraimen, smik	bemorsen
beslaintjen	bemorsen
ben	ben
bei	ben
benjemin	ben je me
benaien, belappen	benaaien
behaald	benadeeld, bedrogen
bekrenken	benadelen
schâden	benadelen
benoadailen	benadelen
benoadern	benaderen
benaud, benoud	benauwd
benoud	benauwd
benaauwd, aarmhaarteg, beholdzoam, beknepen, knieps, kniepsk, krìnzelachteg, krìnzelg, pienlek, zuneg	benauwd, zuinig
binde	bende
deel	beneden, laag
omdele, omdeel, ommeneden	beneden, naar -
ommeneden, deel, dèl, doale, omdeel, omdèl, omdele	beneden, naar -, omlaag
laange lempers	benen, lange -
lempers, laange -	benen, lange -
beknepen, aarmhaarteg, beholdzoam, benaauwd, knieps, kniepsk, krìnzelachteg, krìnzelg, pienlek, zuneg	benepen, zuinig
benetjen	benetten
benusseln	beneuzelen
bengel, bengeln	bengel
bongel, bungel, dwarsbungel	bengel
bongel, bungel, kwel	bengel
bongel, bongeln	bengel
bingels	bengel
bengeln	bengelen
bongeln, bungeln	bengelen
bongeln	bengelen
bingeln	bengelen
pongeln	bengelen
beneid, beneien	benieuwd
benijd, nij	benieuwd
nij, benijd	benieuwd, nieuw
beneien, beneeën, nei	benieuwen
benijen, nijen, verwondern	benieuwen
nijen, benijen, verwondern	benieuwen
verwondern, benijen, nijen, wondern	benieuwen, verwonderen
baineg	benig
benieden	benijden
benjemin	benjamin
Benjemin	Benjamin
Binjomen	Benjamin
verlet	benodigd
benuimen	benoemen
bensjen	bensjen
piont, bunt	bent
piontbessem, piont	bentbezem
piontspier	bentspier
benul	benul
benul	benul
vernul	benul
benutten	benutten
benzeln	benzen
benzine	benzine
òfbraandlaampe (Stad)	benzinelamp
beoordailen	beoordelen
beoddern	beorderen
angeset	bepaald
bepoald	bepaald
bepoald	bepaald
hailewel, kant, zuver	bepaald
zuver, hailewel, kant	bepaald
kant, aan, benoasten, benoasten bie, glad, hailewel, hoast, host, kaar, krap-aan, oast, schier, schroa aan, schroa bie, schroal, sikkom, sikkoms, zuver	bepaald, bijna
vorwillecoert	bepaald, vastgesteld
bepoapt - bepist	bepaapt
bepakt en bezakt, gepakt en gezakt	bepakken
bepoalen	bepalen
bepoalen	bepalen
z. bepoalen	bepalen, z.
bepoalen, z., kaizen	bepalen, z., kiezen
bepennen, pendam	bependen
benopen	beperkt, bekrompen
bepizzen	bepissen
beplakken	beplakken
beplaaistern	bepleisteren
beplaaiten	bepleiten
beplougen	beploegen
beportlanden, bepoortlanden, portland	beportlanden
bepoten, poten	bepoten
bep, beppe, beb, bebbe, zank	beppe
beproaten	bepraten
bepreeken	bepreken
bepreeken	bepreken
beprutteln	bepruttelen
bepunen, bepuinen	bepuinen
beroad - berou	beraad
beroadsloagen, roadelaaiern	beraadslagen
roadelaaiern (Hl.), beroadsloagen	beraadslagen
beroasd, roazen	beraasd
beroaden	beraden
beroamen	beramen
beroamen	beramen, bespringen, doen, snel -
beroapen, besmieten	berapen
berappeln, berabbeln	berappelen
berappen	berappen
te borde brengen	berde
batterij, op -	berde, te -
op batterij	berde, te -
beredden, rijden	beredden
bereddern, beriddern	beredderen
beslofken, beslovven	beredderen
beslovven, beslofken	beredderen
overbodich	bereidwillig
berek	bereik
berekken, ofrekken	bereiken
bereiken, berieken	bereiken (fig.)
berieken, bereiken	bereiken (fig.)
berekken	bereiken (ltk)
richten	bereiken, hoogste punt - (huizenbouw)
bereisjes	bereisjes
beraaizen	bereizen
bereken	berekenen
bereken	berekening
beren	beren
beren	beren
berebiet, beerbiet	berenbeet
berebiet, beerbiet	berenbijt
berekeerl, berelaaider	berenleider
beresnieder, beer	berensnijder
berevet, moddervet	berevet
barg, boonakker	berg
baarg, baarge	berg
baarge, baarg	berg
Berg van Clavaria	Berg van Clavaria
baargemotpeer of baargemot	bergamot
baarmotdruppen, baarmoteulie	bergamotolie
bargen	bergen
baargen	bergen
baargen, bargen	bergen
bargen, baargen	bergen
hude	bergplaats
hilte, hilt, hude, huder	bergplaats
huder, hude, ben, bende, birzie, boes, boeze, bom, boudel, boulen, bourel, dagwaark, doddel, doest, dont, dreudeltje, drift, drobbeltje, droestje, droppeltje, drubbeltje, gaang, glop, gobse, gulp, hilt, hilte, hommeltje, hörntje, houstje, kap, kappe, kelonie, ketaaier, klip, klippe, klob, klobbe, kloet, klompke, klont, kluit, knoest, knoestje, knor, knorre, komplöt, kop, kwaab, kwabs, kwabse, kwak, kwittje, lare, moal, nöst, nust, peuter, plok, pongel, praan, prak, prakke, praksel, prane, prodde, pudde, pudel, pudeltje, put, rieg, riege, rommel, slombe, slomp, snitter, stok, stommel, stommeltje, stootje, stötje, todde, tongel, troest, troestje, tuustje, vlocht, vlucht, vouer	bergplaats, hoeveelheid
schap	bergruimte
vak, affeer, affere	bergruimte (in schuur), beroep, vak
tieden	bericht
berichten	berichten
berieje	berieje
beriemen	berijmen
zeggen	berispen
terechtwiezen	berispen
rovvel, inzeggen	berisping, slag (fig.)
inzeggen, rag, rage, rovvel	berisping, waarschuwing
berje	berje
baark, baarkenboom	berk
baarkenboom, baark	berk
barm, berm	berm
barm, berm	berm
barm	berm
baarm, barm, daipswaal, daipswale	berm
barm, baarm, daipswaal, daipswale	berm
daipswaal, daipswale, baarm, barm	berm
Benaars	Bernardus
Benaars, Naarsie	Bernardus, Bernard
Naarsie, Benaars	Bernardus, Bernard
beruden	beroeden
vernuimd	beroemd
vernuimd	beroemd
affeer, affere, vak	beroep
beroup	beroep (op dominee)
beroupen	beroepen
beroupen, abbelijern, annemen	beroepen
broodjoager	beroepsjager
beroerd	beroerd
bemieterd, mieters	beroerd
mieters, bemieterd	beroerd
beruiern	beroeren
beruiern	beroeren
beroerling	beroerling
mieterd, mieter	beroerling
lamlul, lamswans, lapswaans	beroerling
lamswans, lamlul, lapswaans	beroerling
lapswaans, lamlul, lamswans	beroerling
beraauw	berouw
berauen, berouen	berouwen
beraauwen	berouwen
muiten, raauwen	berouwen
raauwen, muiten	berouwen, rouwen
beroven	beroven
barve	berrie
Bertoa	Berta
deelgeven, z.	berusten
z. deelgeven	berusten
berouwen	berusten, verblijven
berzie, barzie, birzie	berzie
barsie, barzie	berzie
beer	bes
beren	bes
bes, besse	bes
baai, kraal, krale	bes
kraal, baai, krale	bes, kraal
krale, baai, kraal	bes, kraal, schattebout (baby)
aalbeern, aalbeer	bes, rode -
besoaksemd, bebliksemd	besaaksemd
beschoadegen	beschadigen
beschoadegen, knooien, schandaaiern, schanzeren	beschadigen
schandaaiern, beschoadegen, knooien, schanzeren	beschadigen
schanzeren, beschoadegen, knooien, schandaaiern	beschadigen
schareg	beschaduwd
veurklaiden (Hl.)	beschaiten
beschoamen	beschamen
beschoapen	beschapen
beschoaven, beschoafd	beschaven, beschaving
beschei, vrei	bescheid
beschaaiden, temiede	bescheiden
beschaaiden, bekweem, bekweemkes, miedsk	bescheiden
miedsk, mieds, bekweem, bekweemkes, beschaaiden	bescheiden
bekweemkes, bekweem, beschaaiden, fiemelachteg, gemoudegd, miedsk, rusteg, trankiel, tuimeg, tumeg	bescheiden, rustig, schijnheilig
beschelmen	beschelmen
beschaarmen	beschermen
bescheten	bescheten
beschaiten	beschieten
beschieten	beschijten
beschikboar	beschikbaar
beschikken, hortjen, schikken	beschikken
beschikken	beschikken
beschimpen	beschimpen
bunen	beschoeiing
beschontjen, beschonten, schonten, schontjen	beschooien
beschoren	beschoren
beschot, schudden	beschot
beschaauwen	beschouwen
beschreien	beschreien
beschrippen, schrippen	beschreppen
beschrieven	beschrijven
bak, beschuut, twaibak, twijbak	beschuit
beschuut, bak, twaibak, twijbak	beschuit
twaibak, bak, beschuut, twijbak	beschuit
twijbak, bak, beschuut, twaibak	beschuit
twaibak	beschuit
beschuuttetrom	beschuittrom
antigen	beschuldigen
betijen	beschuldigen
beschuldegen	beschuldigen
beschutten	beschutten
benul	besef
sevveloos	beseffeloos
besijbelen	beseibelen
beziebels, besiebels, besiebies	beseibels
besibt, besipt, sibbe	besibd
besistern, sas	besisseren
besjachern	besjacheren
besjaicheln, besaicheln, beschaicheln	besjacheren
krìntjebrij	besjesgort
besjaggeln	besjoemelen
besjausteren	besjollemen
betjaueln, betjoueln, tjaueln	besjouwelen
besloagen	beslaan
besloagen, versloan	beslaan
besloagen, opholden	beslaan, eindigen
beslabben	beslabben
beslabben	beslabberen
mengsel	beslag
beslag, besloagen	beslag
beslag	beslag
besloagen, bedegend	beslagen
besloagen, beslag	beslagen
beslagspot	beslagpot
mìngselpot	beslagpot
beslantern, begrijmen	beslanteren
besleten	besleten
verclaren	beslissen
beslizzen	beslissen
besloddern, begrijmen	beslodderen
beslommern	beslommering
beslot, beslut	beslot
rezelvoatsie	besluit
besloeten	besluiten
besloeten, besluten, rezelvaaiern	besluiten
besluten, besloeten, rezelvaaiern	besluiten
rezelvaaiern, besloeten, besluten	besluiten
aanstekelk, beklievelk	besmettelijk
beklievelk, aanstekelk	besmettelijk
