eerdappeldoggen	Aardappeldoggen
flittern	flitteren
flodderboksen	flodderboks
flottern	flodderen
flodderg	flodderend
flotterketrien	flodderkatrien
flontjederai	flonterij
floriezant	florissant
flort	flors
flortje	florsje
kwaalster	fluim
lustern	fluisteren
floiten	fluiten
kezebloumen	fluitenkruid
piepke	fluitje
flaipiep	fluitpijp
fluitpieperij	fluitpijperij
flotje	flut
ferwail	fluweel
ferwijlen	fluwelen
ferwijleg	fluwelig
foefeln	foefelen
fij	foei
foetern	foeteren
veurloop	foezel
foezeln	foezelen
fòkken	fokken
fokseln	fokselen
fonogroaf	fonograaf
fopkatte	fopkat
verneuken	foppen
wiesmoakerij	fopperij
lót	fopspeen
faksaaiern	forceren
kookkaggel	fornuis
fertuun	fortuin
fertunelk	fortuinlijk
smantje	fortuintje
òfpottertaaiern	fotograferen
fotse	fots
fodsendinchien	fotsding
vouroazie	fourage
foederzijern	fourageren
flamboos	framboos
flambozebos	frambozenstruik
froanie	franje
froaniegras	franjegras
froaterhoes	fraterhuis
volschip	fregat
fraien	freuen
frèle	freule
fiemelen	friemelen
knoedeln	frommelen
vrotzak	frotzak
foksioa	fuchsia
foek	fuik
fuum	fume
fōnksie	functie
fuut	fut
goa	ga
geef	gaaf
gaje	gaai
goan	gaan
goandeweg	gaandeweg
gaons	gaans
gaps	gaaps
goar	gaar
goarkeuken	gaarkeuken
geern	gaarne
goas	gaas
gawwer	gabber
goaden	gading
gadingmakenden	gadingmakende
goazie	gage
goagel	gagel
gaaie	gajes
gallen	gal
gallef	galf
gaalge	galg
galtjegad	galgat
gaalgemoal	galgenmaal
galgepennen	galgenpen
galleg	gallech
galleg	gallig
gaalm	galm
gaalmen	galmen
gelop	galop
gaalpen	galpen
golfert	galper
gaalstert	galster
galsterg	galsterig
gaalderij	galziekte
chammern	gammeren
ganke	gang
gangboar	gangbaar
gengeln	gangelen
gansken	gansen
ganzegat	ganzengat
ganzekukens	ganzenkuikens
ganzevleugel	ganzenvleugel
gappen	gapen
gapperd	gaper
gaps	gaperig
jappert	gapper
geroazie	garage
goaren	garen
goarenderei	garenderij
goarentweernder	garentwijnder
goarentweeren	garentwijnen
gaarven	garf
genoat	garnaal
genoat	garnaat
genoatedoppen	garnatendop
aargemìnt	garneersel
òfzetsel	garnering
galstrig	garstig
gartenkosje	gartenkoosje
gadder	gasser
uutvanhuzer	gast
gastbod	gastenbord
gasthuus	gasthuis
goaten	gat
gadlikker	gatlikker
filo	gauwdief
gaauwte	gauwheid
goaf	gave
goaven	gaven
gezien	geacht
appeld	geappeld
koekjederij	gebak
gebeurd	gebeuren
getiepel	gebeuzel
heiten	gebieden
gebedenis	gebiedenis
bleven	gebleven
bloumkede	gebloemd
gebòd	gebod
geboorte-brief	geboorteakte
geboorteg	geboortig
gebaauw	gebouw
gebrekkelk	gebrekkelijk
broken	gebroken
gebroek	gebruik
gebrukelk	gebruikelijk
gedoan	gedaan
gedoante	gedaante
zin	gedachten
gedachteg	gedachtig
gedailte	gedeelte
kuin	gedeisd
gedìnktaiken	gedenkteken
gedaind	gediend
gedainde	gediende
gedainsteg	gedienstig
gedaairte	gedierte
gedisteleerd	gedistilleerd
gedou	gedoe
gedounte	gedoente
duvelderij	gedonder
gedròcht	gedrocht
liedzoam	geduldig
getiepel	geduldwerk
gedureg	gedurig
geelgou	geelgors
geelhoar	geelhaar
geelstoalen	geelstaal
geekenwortel	geelwortel
gain	geen
gebe	geep
geir	geer
gaist	geest
gijsteg	geestig
geihonger	geeuwhonger
geflodder	gefladder
geflortje	geflort
gegap	gegaap
geven	gegeven
gegiebel	gegiechel
gegier	gegil
gegnivvel	gegniffel
gegorrel	gegorgel
finail	gehaaid
gehoast	gehaast
gehoat	gehaat
gehak	gehakt
hakbal	gehaktbal
gehail	geheel
onthold	geheugen
geheur	gehoor
geheurzoam	gehoorzaam
gehollen	gehouden
loug	gehucht
getakt	gehumeurd
gaail	geil
gijn	gein
gijnponum	geinponem
sege	geit
bokkemelk	geitemelk
nuke	geitenbok
bokkemelk	geitenmelk
boklam	geitje
gejerm	gejammer
gejui	gejoel
gugelder	gek
gekoakel	gekakel
kekelderij	gekekel
gekutel	gekeutel
gekkens	gekheid
kibbelderij	gekibbel
gekjoagen	gekjagen
gekmanswark	gekkemanswerk
gekkeboudel	gekkenboel
gekkenboudel	gekkenspul
gekmanswaark	gekkenwerk
gejeuzel	geklaag
geklaauwster	geklauter
geknapper	geknisper
genut	geknut
getudel	geknutsel
gekaanstekerij	gekscheerderij
maal	gekte
gekoggel	gekuch
gekochel	gekuchel
kwedelderij	gekwedel
beserichde	gekwetste
loaden	geladen
geloaten	gelaten
gel’n	geld
gellen	gelden
geldeg	geldig
geldpien	geldpijn
geldwinnen	geldwinning
gelegenhaid	gelegenheid
slai	gelei
gelaaiden	geleiden
geliek	gelijk
liekbendeg	gelijkbandig
liekdailer	gelijkdeler
jegender	gelijke
gelieken	gelijken
geliekenis	gelijkenis
geliektiedeg	gelijktijdig
leuven	geloven
gel	gelt
geluud	geluid
knak	geluidnabootsing
gelokkeg	gelukkig
geloksvogel	geluksvogel
gelukzegen	gelukszegen
gemoakt	gemaakt
gemoal	gemaal
sachs	gemakkelijk
marineerd	gemarineerd
gemaddel	gemartel
gemain	gemeen
gemaineghaid	gemeenheid
gemainschop	gemeenschap
mandaileg	gemeenschappelijk
gemainte	gemeente
gemaintelasten	gemeentebelasting
gemijntekast	gemeentekas
mijntewark	gemeentewerk
gemainzoam	gemeenzaam
maank	gemengd
gemieter	gemier
prakkezoatsie	gemijmer
gemoud	gemoed
gemoudlek	gemoedelijk
moed	gemoedsgesteldheid
gemuid	gemoeid
moorkopt	gemoorkopt
genoade	genade
genoadebrood	genadebrood
genoadeg	genadig
generoal	generaal
nucht	geneugte
zacht	genezen
genaiten	genieten
genog	genoeg
genougen	genoegen
nuggelk	genoeglijk
genoot	genot
gepolter	geplons
gekudel	gepruts
gepruddel	gepruttel
geroakt	geraakt
geribte	geraamte
geroaden	geraden
gerechtelk	gerechtelijk
gerechtegd	gerechtigd
gerechteghaid	gerechtigheid
schiereghaid	gereedheid
reew	gereedschap
rechtfermijrd	gereformeerd
geraide	gerei
rekenderij	gereken
gereg	gerend
rezelvaaierd	geresolveerd
gerak	gerief
gerievelk	geriefelijk
geerig	gerig
geraidekast	gerijkast
geringighaid	geringigheid
klaainachten	geringschatten
geruzzel	geritsel
geroggel	gerochel
geroup	geroep
gerotter	geronk
gaarst	gerst
gaarstenmeel	gerstemeel
garstenmeelenbrei	gerstemeelbrei
garststoppel	gerststoppel
roetjede	geruite
bieschoapen	geschapen
geschotter	geschater
schet	gescheiden
gebölk	geschreeuw
giezel	gesel
giezelbaarg	geselberg
gieseln	geselen
gieselpoal	geselpaal
gesister	gesis
gesjochn’t	gesjochten
bedegend	geslaagd
femilie	geslachtsdeel
gegingel	geslenter
spant	gespannen
gespuus	gespuis
gestoa	gesta
gestèl	gestel
gejuchter	gestoei
geklunder	gestommel
gestod	gestoten
streept	gestreept
kwakkelderij	gesukkel
getaim	geteem
geteisum	geteisem
getaikend	getekend
gejudas	geterg
gehelbel	getier
tiegerd	getijgerd
getudel	getoddel
geteuver	getover
nuzzelderij	getreuzel
trouwelicken	getrouwd
getsje	getsie
getuge	getuige
getugen	getuigen
daggeld	getuigengeld
getugennis	getuigenis
getutel	getuttel
gevoar	gevaar
gevoarelk	gevaarlijk
gevoarte	gevaarte
aalsgeval	geval
gevil	gevallen
gevallighaid	gevalligheid
stokbewoarder	gevangenbewaarder
gevankelk	gevankelijk
gefiedel	gevedel
gevelstain	gevelsteen
gif	geven
voold	geveulend
gevuil	gevoel
seupel	gevoelig
doof	gevoelloos
gevolgen	gevolg
gevrozen	gevroren
gewoagd	gewaagd
gewoarworden	gewaarworden
gewoapend	gewapend
was’n	gewassen
wèst	geweest
geweldeg	geweldig
verwulf	gewelf
gewindten	gewendte
gewìnst	gewenst
gewaiten	geweten
wicht	gewicht
eerheeflijk	gewichtig
wichtje	gewichtje
gewikst	gewiekst
gewilleg	gewillig
gewoontlijck	gewoon
suzantsie	gewoonte
geworren	geworden
gevricht	gewricht
gevruzzel	gewroet
Gezangen	gezang
gedwelm	gezanik
zegd	gezegd
gezeggelk	gezeggelijk
gezelleg	gezellig
gezelschop	gezelschap
gezelschopszuit	gezelschapszoet
geaimel	gezeur
gezain	gezien
zond	gezond
gezondhaid	gezondheid
zwel	gezwel
geswind	gezwind
gesworen	gezworen
emeleerd	geëmailleerd
jecht	gicht
giebeln	giebelen
giebeln	giechelen
jirre	gier
girzig	gierig
gierpìnze	gierigaard
gierswaalfke	gierzwaluw
gaiten	gieten
gaiter	gieter
gailen	gijlen
gieseln	gijzelen
gier	gil
gilpen	gillen
gunt	ginds
giespertien	gispeltje
gizzen	gissen
gest	gist
gèsten	gisten
guster	gister
guster	gisteren
glaske	glaasje
glassies	glacé’s
glaai	glad
gladdighaid	gladdigheid
gladdens	gladding
glansriek	glansrijk
glei	glanzend
gloazen	glas
glasgedien	glasgordijn
gloazen	glazen
gloazenwasken	glazenwassen
gloazeg	glazig
glaai	glei
gleeren	gleren
glieve	gleuf
glidderg	glibberig
glitterglad	gliddergladder
glidderg	glidderig
slierbân	glijbaan
glieden	glijden
gliestern	glijsteren
glimhòlt	glimhout
glimwurm	glimworm
glimzuit	glimzoet
globoal	globaal
gloudnei	gloednieuw
gluien	gloeien
glende	gloeiend
glendighaid	gloeiendheid
glendighaid	gloeiendigheid
gloepen	gloepe
glup	glop
glorioa	gloria
gloep	gluip
gloepen	gluipen
gloepend	gluipend
gloeperd	gluiperd
gloepgat	gluipgat
gloepstreken	gluipstreek
gloepen	gluren
gloeperd	gluurder
gnivveln	gniffelen
gobbeln	gobbelen
gobaaier	gobei
goden	god
gòddelk	goddelijk
godloozen	goddeloze
godsdainst	godsdienst
gòdswonder	godswonder
goud	goed
goelick	goedaardig
goudhaals	goedbloed
goetbedunken	goeddunken
guindag	goedendag
goudens	goedens
gouderbest	goederbest
gouderdeugde	goederdeugd
goudern	goederen
goudergeluk	goedergeluk
ledeg	goedgebouwd
goudgeefs	goedgeefs
goudgunsteg	goedgunstig
goudhaid	goedheid
goudeg	goedig
goudeghaid	goedigheid
goudje	goedje
goudkeuren	goedkeuren
goudkeuren	goedkeuring
goudkoop	goedkoop
goudkoops	goedkoops
goudkoopte	goedkoopte
beterkoop	goedkoper
goudmoudeg	goedmoedig
goudproaten	goedpraten
goudschiks	goedschiks
getroost	goedsmoeds
slokkebotter	goedzak
goumörgen	goeiemorgen
genoavend	goeienavond
goudelk	goelijk
goffert	gofferd
gòkken	gokken
goluf	golef
boar	golf
ribbel	golfje
goliat	goliath
gòlven	golven
gommes	gomme
kosje	gonje
keukelder	goochelaar
keukelspul	goochelarij
gogeln	goochelen
googem	goochem
goosdert	goosder
geude	goot
geutgat	gootgat
geutstien	gootsteen
gorre	gordel
gerdien	gordijn
gedienegoud	gordijngoed
gedienekoor	gordijnkoord
gedienegoud	gordijnstof
gedientje	gordijntje
gorreln	gorgelen
gorre	gors
gôrde	gort
soepenbrij	gortepap
görtig	gortig
görtkoren	gortkoren
geutjen	goten
gold	goud
golden	gouden
gòldfezant	goudfazant
goldkoppien	goudhaantje
wilster	goudplevier
goldringenet	goudrenet
gòldsmid	goudsmid
visglas	goudviskom
groad	graad
groaf	graaf
groafschapper	graafschapper
groafschapslinnen	graafschapslinnen
groafwaark	graafwerk
geern	graag
korenkooper	graanhandelaar
koornfarrie	graanschuit
grobbeln	grabbelen
legerstede	graf
groalen	gralen
gramieterg	grammoedig
grammietig	grammottig
gramniedeg	gramnijdig
gramitig	gramstorig
groapen	grapen
groaperg	graperig
wiepkes	grapjes
grasbotter	grasboter
grasmaiers	grasmaaier
graske	grassprietje
groatsie	gratie
groates	gratis
grou	grauw
grauàften	grauwerwt
grausteert	grauwstaart
grijfel	graveel
groaven	graven
grijde	greid
grenzel	grein
groantje	greintje
grondeln	grendelen
knip	grendeltje
grainenholt	grenenhout
grìns	grens
grìnspoal	grenspaal
grìnzen	grenzen
group	greppeltje
grienmancktörven	grienmankturf
griezeltje	griezel
griezelachteg	griezelachtig
griezeln	griezelen
grivvel	griffel
griggen	grig
graimen	grijmen
griepaaide	grijpeg
griepen	grijpen
grieplam	grijplam
griepvogel	grijpvogel
grel	gril
grilkieker	grilkijker
grillerg	grillerig
mantjes	grimassen
grimkoppen	grimmelkop
grint	grind
grintbult	grindbult
krit	grit
groeve	groef
grui	groei
gruien	groeien
gruipoeten	groeipuistjes
gruizoam	groeizaam
gruin	groen
mousker	groenboer
gruinàrften	groenerwt
schietgeel	groengeel
gruinland	groenland
grijnmank	groenmank
gruinte	groente
moustoen	groentetuin
kiek-in-de-wereld	groentje
groupfail	groepfeil
groutnis	groet
grouve	groeve
groffe	grof
grofdoadeg	grofdadig
grofgeef	grofgaaf
gròk	grog
grommeln	grommelen
gronds	grond
grundel	grondel
grondeg	grondig
grondröt	grondrat
grondvaarf	grondverf
grondvergoadering	grondvergadering
grootbouk	grootboek
grootgoud	grootgoed
groothaartog	groothertog
grootmoaken	grootmaken
beppe	grootmoeder
grôtte	grootte
bes	grootvader
grös	gros
gruvvels	gruffel
groes	gruis
groeterg	gruiterig
groezoarig	gruizig
gortjes	grutjes
grouel	gruwel
gruwelwoater	gruwelwater
gobbe	gubbe
goddern	gudderen
gudse	guds
gugel	guichel
goele	guil
guut	guit
guteg	guitig
gul’n	gulden
guldensreuster	guldensrooster
snèl	gulp
gulzeg	gulzig
gommi	gummi
gund	gunnen
gunsteg	gunstig
guntern	gunteren
geuren	guren
gim	gym
krìntjebrij	gòrdegruwel
hah!	ha
hoagebuiken	haagbeuk
winde	haagwinde
huibui	haaibaai
hoaken	haak
hoakschoon	haakschoon
haaksparren	haakspar
hoal	haal
hoalstok	haalstok
hoan	haan
vingerkòld	haandjekòld
deurzetter	haantje-de-voorste
heur	haar
hoarband	haarband
heerd	haard
heerdaimerke	haardhemeltje
hittje	haardje
heerdket	haardketting
heerdstee	haardstee
hoartuug	haartuig
teems	haarzeef
hoas	haas
hoaskejoagen	haasjejagen
hoasteg	haastig
hâtsch	haatdragend
hoatsk	haats
toabiet	habijt
hacheln	hachelen
avveln	haffelen
heveltas	hagedis
hoagel	hagel
hoageln	hagelen
hoagels	hagels
hakbret	hakbord
hoaken	haken
hakhoorntje	hakhoorn
haffelen	hakkelen
haksenbiele	hakselbijl
hakzeene	hakzeen
hoalen	halen
haalf	half
halfgebakken	halfbakken
halfbekt	halfgebekt
halfschoren	halfgeschoren
haalfie	halfje
halfmoantje	halfmaantje
haalfschaaid	halfscheid
halfslachteg	halfslachtig
halfstoan	halfstaan
halfwieze	halfwijze
haalfzeuven	halfzeven
halfswienskop	halfzwijnskop
strospier	halm
halsboge	halsboog
haalsknoak	halsknook
kop-over-haals	halsoverkop
helster	halster
helstergeld	halstergeld
haalsknoak	halswervel
halvemoan	halvemaan
haalfweg	halverwege
schink	ham
hoamansoorn	hamansoren
Hambörgen	hamburgen
hoogemei	hamei
hoamer	hamer
hamrik	hamrijk
handje	hand
handappels	handappel
handjebakken	handbakken
handdoadeg	handdadig
handouk	handdoek
handelboar	handelbaar
handeln	handelen
handelwies	handelwijze
haans	handen
haandgeld	handgeld
handgrepen	handgreep
handhoaven	handhaven
smieteg	handig
handkold	handkoud
handmesien	handmachine
haandmesien	handnaaimachine
handomdrai	handomdraai
handperen	handpeer
handreken	handreiking
hanske	handschoen
moffen	handschoenen
handwisk	handsmeren
handspoak	handspaak
handtastelk	handtastelijk
handtaiken	handtekening
handsel	handvat
hoanebieter	hanenbijter
schartel	hanenkam
hoanepoot	hanenpoot
hoanepoten	hanenpoten
moudveren	hanenstaartveren
hoanetree	hanentred
hangoverdeur	hang-over-de-deur
hangelperen	hangelpeer
hangiesder	hangijzer
hangelslöt	hangslot
hoaneg	hanig
hannekemaaiers	hannekemaaier
handjeveurmaier	hannekevoormaaier
henzen	hanzen
hoapern	haperen
stoekerd	hapering
happeg	happig
hapschuddel	hapschotel
hap-snap	hapsnap
haard	hard
hardroaverspeerd	harddraverspaard
hardegeertjes	hardegeertje
hardelingen	hardeling
harderooden	harderode
haardhandeg	hardhandig
hardheureg	hardhorig
hardholtje	hardhuid
onbegripzoam	hardleers
hardlooper	hardloper
hardschild	hardschillig
haardvochteg	hardvochtig
niestsk	hardwerkend
hoaren	haren
heern	haring
rive	hark
riven	harken
harmharkesperen	harmharkespeer
harmonikoa	harmonika
arregat	harregat
kribben	harrewarren
katjeliem	hars
hars	harst
haart	hart
hartelk	hartelijk
harteg	hartig
haartkloppens	hartkloppingen
haartzeer	hartzeer
haspeln	haspelen
haspeltoetje	haspeltoet
hoaten	haten
housien	haustje
hoaven	haven
hoaven	havenen
heufd	havenhoofd
hoaver	haver
hoaverngört	havergort
hoaverkist	haverkist
klapscheet	haverklap
hoaverkorrel	haverkorrel
hoavermout	havermout
hoaverstro	haverstro
hoavertails	haverteil
hoanebieter	havik
awoar	hawaar
hoazelip	hazelip
hoazeneut	hazelnoot
hoazebloud	hazenbloed
hoasjoagen	hazenjagen
knipsloapke	hazenslaapje
hazespat	hazenspat
hoazesprang	hazensprong
hoazevellen	hazenvel
kebm	hebben
hebbeg	hebbig
hecht	hechtenis
hechtplaaister	hechtpleister
bunder	hectare
bot	heel
hijlkees	heelkees
haim	heem
hijmhond	heemhond
hen	heen
henneweer	heen-en-weer
henbrengen	heenbrengen
hendenken	heendenken
hengoan	heengaan
henkomen	heengekomen
henhangen	heenhangen
henkomen	heenkomen
henkriegen	heenkrijgen
hinraais	heenreis
henschrieven	heenschrijven
hensmieten	heensmijten
henstoan	heenstaan
henstarven	heensterven
hensturen	heensturen
henvallen	heenvallen
henvracht	heenvracht
henweg	heenweg
hinzain	heenzien
heerlek	heerlijk
heerlkhaaid	heerlijkheid
hirs	heers
permoters	heerschappij
heerdje	heertje
heestrig	hees
heisterg	heesterig
hait	heet
hijtgeboakerd	heetgebakerd
hijtkilleg	heetkillig
hevven	heffen
hecht	heft
hege	heg
heegscheer	heggenschaar
hijbel	heibel
haidenbessem	heibezem
haaiblok	heiblok
haikeroazie	heicourage
haaide	heide
haaiden	heiden
haaidendom	heidendom
haaiden	heidenen
haaidens	heidens
haaideschoapen	heideschaap
Haaideschoapen	heideschapen
haail	heil
haaileg	heilig
haailegdom	heiligdom
haailzoam	heilzaam
wins	heimwee
haister	heister
haistern	heisteren
hei	heit
haitou	heitouw
hekken	hek
hekeln	hekelen
eksie-perfeksie	hekjeperfekje
heksebiel	heksenbijl
hektogroaf	hektograaf
heldendoad	heldendaad
licht	helder
hijle	hele
helfte	helft
helkaar	helkar
hellebelleg	hellebellig
furie	helleveeg
helleg	hellig
hellîngdog	hellingdog
hellingijzers	hellingijzer
helmholt	helmhout
haalfstoander	helper
helsdeuren	helsdeur
hom	hem
roodboien	hemdrok
hemmeln	hemelen
goi	hemeltje
sij	hen
hengen	heng
hangel	hengel
zeel	hengsel
aarmkörf	hengselmand
hingst	hengst
hingsteboer	hengstenboer
hingstegeld	hengstengeld
hingstekul	hengstenkul
hingsteg	hengstig
iesvool	hengstveulen
heenklaid	hennekleed
henjegras	hennetjesgras
harbargen	herbergen
haider	herder
heerboer	herenboer
her-eksoamen	herexamen
haarst	herfst
herfstbloemen	herfstbloem
harstflikkers	herfstflikker
haarstschonen	herfstschoonmaak
heergoan	hergaan
herhoalen	herhalen
herhoalensonderwies	herhalingsonderwijs
heriek	herijk
neerkouwen	herkauwen
heerkomen	herkomen
heerkomst	herkomst
wederroepen	herroepen
hazzens	hersenen
bragempanne	hersenpan
hazzens	hersens
harsenschrabben	hersenschrabben
hazzenzaikte	hersensziekte
reperteur	hersteller
heerwoarts	herwaarts
t	het
haiten	heten
ein	hetzelfde
hugen	heugen
heukerg	heukerig
heukerswinkeltje	heukerswinkel
platloes	heupfles
draaineerzen	heupwiegen
heveln	hevelen
heezebeezen	hezebezen
hiepern	hieperen
haren	hier
hierlàngs	hierlangs
hiernoamoals	hiernamaals
hierzoot	hierzo
e	hij
hiemen	hijgen
kortâmig	hijgend
hiemen	hijmen
hies	hijs
hiezen	hijsen
snok	hik
kikkakkerij	hikhakkerij
hille	hild
hilleg	hillech
hilde	hilt
hink-stap-sprang	hink-stap-sprong
vrenzen	hinniken
his!	hits
hetseg	hitsig
hette	hitte
hetteboelen	hittebuil
hettendruppen	hittedrup
hobbeln	hobbelen
hobbelpeerd	hobbelpaard
hobbelstuut	hobbelstuit
hou	hoe
houd	hoed
houdoaneg	hoedanig
wachten	hoeden
haaider	hoeder
huiderei	hoederij
hodje	hoedje
houdjeballen	hoedjebal
houf	hoef
peeriezer	hoefijzer
noodstaal	hoefstal
Hougenoamd	hoegenaamd
houke	hoek
houpkefet	hoekbuffet
hou	hoeken
horntand	hoektand
houkwittertje	hoekwittertje
houmenneg	hoemenig
houmennegste	hoemenigste
hounderai	hoenderei
houdergeld	hoendergeld
hounderkukens	hoenderkuiken
hounderstront	hoenderstront
houndervaalke	hoendervalk
hounje	hoentje
houp	hoep
houpeln	hoepelen
houpnet	hoepnet
houer	hoer
houzen	hoes
huishuis	hoeshoes
housterei	hoesterij
houveul	hoeveel
huiven	hoeven
hofdoame	hofdame
hofdijnstjes	hofdienst
hofman	hoffmann
hofzinger	hofzanger
hoogelk	hogelijk
heukel	hokkeling
hool	hol
holvern	holferen
holoogd	hologig
holpiep	holpijp
holschen	hols
hulder	hommel
waikkuut	hommer
joekel	hond
hondeboantje	hondebaantje
hondiegel	hondegel
hondeboas	hondenbaas
hondebeisholt	hondenbessenhout
honnust	hondenest
honhok	hondenhok
honnekeutel	hondenkeutel
hondeklemai	hondenklamaai
hondenkruud	hondenkruid
hondeland	hondenland
hondemeulen	hondenmolen
hondepad	hondenpad
hondsloager	hondenslager
hondetong	hondentong
honderdoezend	honderdduizend
hondeg	hondig
schontjedraf	hondjedraf
hondjedraf	hondsdraf
hondsolder	hondsouder
bòk	honger
hongern	hongeren
hongerg	hongerig
smachtkampe	hongerkaamp
smachtlap	hongerlijder
hunneg	honing
waark	honingraat
hoesvaast	honkvast
kop	hoofd
kòpgoud	hoofdkaas
kepiddel	hoofdstuk
heufvlijs	hoofdvlees
haag	hoog
hoogscholderd	hooggeschouderd
bruil	hoogmoedig
hoogruggeg	hoogruggig
hoogstwoarschienelk	hoogstwaarschijnlijk
hochtied	hoogtijd
overvlaiger	hoogvlieger
heu	hooi
heubult	hooiberg
rief	hooihark
heulaand	hooiland
heumennen	hooioogst
heutied	hooitijd
heuvörk	hooivork
heuwoagen	hooiwagen
heuzolder	hooizolder
hoopen	hoop
hoopke	hoopje
heur	hoor
hörn	hoorn
horendoren-kroepoet	hoorn-doorn-kruipuit
nuunhoorn	hoornschelp
hoorntjes	hoorntje
hozeband	hoosband
heusvat	hoosvat
hop!	hop
horre	horde
heureg	horig
ork	hork
horrelpiep	horlepiep
klokschoner	horlogemaker
hörnleger	hornleger
hörnschijf	hornscheef
hörntanden	horntand
attinsioa	hortensia
hottern	hotteren
holan	houd-aan
holden	houden
holden	houding
slaghoupel	houpnet
holt	hout
holten	houten
holtje	houtje
holtstek	houtpakhuis
sipsapholt	houtsoort
holtstek	houtstek
zâgmuller	houtzaagmolenaar
hòl	houvast
houwail	houweel
haauwgen	houwen
hauslöt	houwslot
hoveerdeg	hovaardig
hozevelînk	hozenveling
hoozevurrels	hozenverrel
hozevötels	hozenvoet
hoozeveeling	hozenvoetling
u	hu
hugeln	huichelen
hoed	huid
huufken	huif
hoeke	huig
hoyke	huik
hoele	huil
hoelemoalen	huilemalen
hoes	huis
hoesarrest	huisarrest
hoesholn	huishouden
hoesholderske	huishouderse
huisholt	huishout
huuske	huisje
hoeslook	huislook
hoesmaark	huismerk
hoesgroat	huisraad
huusgroadsbier	huisraadsbier
hoesröt	huisrat
hoesfesten	huisvesting
huuszijk	huisziek
huverg	huiverig
huver	huivering
hoezen	huizen
húzelntau	huizingtouw
onderstand	hulp
hulpmizze	hulpmest
hulpsoam	hulpvaardig
hupseelen	hulpzeel
hulskrabbe	hulstkrap
hulzebos	hulststruik
hom!	hum
frantereg	humeurig
hummelsken	hummelen
mouerg	humusrijk
’n	hun
steinbarg	hunebed
hennebeien	hunnebes
huppeln	huppelen
hoek	hurken
tjakseln	husselebusselen
hutseln	husselen
huzzeln	hutselen
stimpstamp	hutspot
hutjern	hutteren
huurschatter	huurcharter
huursman	huurman
huurstaller	huurschatter
hijlck	huwelijk
houliksbraif	huwelijksbrief
huzoar	huzaar
hiepkonterg	hypochonderig
iepkonter	hypochondrie
hieptijk	hypotheek
hè?	hè
hèn?	hè?
e	i
ei	ie
aal	ieder
iederenijn	iedereen
iedermoal	iedermaal
emandt	iemand
ains	iemands
iepern	iep
eets	iets
eg	ig
ie	ij
iedel	ijdel
iedelheufdeg	ijdelhoofdig
iedeljipsk	ijdeljips
ieken	ijken
iekmeester	ijkmeester
eeljebij	ijlbij
bazen	ijlen
ielgat	ijlgat
iedelheufdeg	ijlhoofdig
ies	ijs
iesboan	ijsbaan
iesbreden	ijsbord
ais	ijselijk
ieselkhaid	ijselijkheid
ijske	ijsje
ieskrappen	ijskrap
iestappen	ijstap
iesvogel	ijsvogel
iever	ijver
waarkzuchteg	ijverig
iezel	ijzel
iezen	ijzen
iesder	ijzer
iezerbeslag	ijzerbeslag
iezern	ijzeren
iezerkouktjes	ijzerkoekje
iezerflekken	ijzervlek
ikke	ik
illemenoatsie	illuminatie
noabaauweln	imiteren
iemker	imker
ieme	imme
iemdouk	immendoek
iemhok	immenhok
iempikkertje	immenpikker
iemspielen	immenspijlen
jummeran	immeraan
in	in-
verbeelding	inbeelding
inbinnen	inbinden
inboudel	inboedel
inlander	inboorling
inkruus	incluis
indachteg	indachtig
indìnken	indenken
indusseln	indisselen
indoun	indoen
instippen	indopen
indroagen	indragen
intersant	indringerig
omkrimpen	ineenkrimpen
inains	ineens
inìnten	inenten
influenzoa	influenza
inlustern	influisteren
inboogd	ingebogen
inspoord	ingespoord
intast	ingewanden
ingewaide	ingeweide
ingloepen	ingluipen
ingroavend	ingravend
inhoalen	inhalen
inhoaler	inhaler
inhouk	inhoek
inhòld	inhoud
inholten	inhout
inkiek	inkijk
inkieken	inkijken
inkloarijern	inklaren
inkomen	inkomsten
inkomsteg	inkomstig
enkt	inkt
inkendrokker	inktdrukker
inkspot	inktpot
hinkespeiersrogge	inktspuwersrug
inkoelen	inkuilen
inketaaiern	inkwartieren
inloaden	inladen
ondertied	inmiddels
inneg	innig
inpaalmen	inpalmen
inpenneg	inpannig
inpoeiern	inprenten
inregen	inregenen
inrieden	inrijden
inrimpeln	inrimpelen
inschikkelk	inschikkelijk
inschreve	inschreef
inschunen	inschuinen
ingeliken	insgelijks
insloagen	inslaan
inzaailen	inslapen
insloeken	inslikken
insloeken	inslokken
inslupen	insluipen
inpaiken	insmeren
insnijen	insneeuwen
insnieden	insnijden
inspekteur	inspecteur
inspellen	inspelden
inspinder	inspinner
instoan	instaan
instinkt	instinct
instreuen	instrooien
instudaaiern	instuderen
intaiken	intekenen
interzant	interessant
intresten	interesse
intresten	interest
intreks	intrekken
interziebel	intrinsiek
invaal	inval
invoaren	invaren
eventoarie	inventaris
invloud	invloed
invougen	invoegen
invörken	invorken
inwendeg	inwendig
wijen	inwijden
inwizzeln	inwisselen
inzegen	inzegenen
inzeggen	inzegging
inzetten	inzetting
inzain	inzien
jobinâm	inzonderheid
inzòlten	inzouten
kòlsachteg	is
joa	ja
leidzeel	jaaglijn
joanevod	jaanvod
joar	jaar
joarlieks	jaarlijks
joarmaark	jaarmarkt
joartied	jaartijd
jachtdeurdarm	jacht-door-de-darm
jachtpoal	jachtpaal
