Nederlands;Gronings
Bij wijze dat Vriesmoa zag dat het krubke met het potje weg was.;Bie geval dat Vriesemoa zag dat t krubke mit t potje vot was.
Zegebok had in de hoek maal staan kauwen op een been en de pop had het haar er ook allemaal af.;Zegebok haar ien houk maal stoan kaauwen op n bain en pop haar t hoar der ook aal òf.
Gelukkig wist Oaltje er nog niets van, maar de jongen was erg erg verergerd.;Gelukkeg wis Oaltje der nog niks van, mor köster was aldernoarst vergreld west.
Willems zou er met zijn benen afblijven!, riep ze.;“Willems zol der mit zien poten ofblieven!”, haar köster roupen.
De dominee zei dat hij zich verheugde dat iedereen weer op het feest van geboorte en vrede was.;Domie zee dat hai bliede was dat elk weer op t feest van geboorte en vrede was.
Zegbok en hijkel stonden in verbazing naast elkaar over het schot te kijken.;Zegebok en heukel stonden ien verboazens noast nkander over t schot te kieken.
Zij waren een en al oor wat of daar niet allemaal gebeurde.;Zai wazzen ain en aal oor wat of doar nait aal gebeurde.
Alleen het kleine lammer smeerde.;Allinneg leutje lammer mekkerden.
Boek dacht dat hij het niet goed kon zien en ging met voorvoeten bij het schot op staan en belkte maar weg.;Bok docht dat hai t nait goud zain kon en ging mit veurpoten bie t schot op stoan en belkte mor ais.
De gemeenschap moest liggen en de ezel wilde er ook graag bij horen.;Gemainte mos lagen en ezel wol der ook groag bie heuren.
Die stond wat in verdrongen achter zijn eigen dikke gat.;Dij stond wat ien verdrukken achter heukel zien dikke gat.
In een ogenblik zag iedereen dat de ezel hypocriet in het gat beet.;Ien ainen zag elk dat ezel heukel ien t gat beet.
Hij brulde van schrik en sloeg en schopte alle kanten uit.;Dij brulde van schrik en sloug en schopte aal kanten oet.
De planken vlogen eruit, de schoten onderste-;Planken vlogen der oet, schotten onderste-
boven en neer nam een ruime maan de abbelzienen die op een lange tafel lagen klaar.;boven en zegebok nam n roam maank abbelsienen dij op n laange toavel kloar lagen.
Die hadden hem altijd een zetje lekker aangedaan.;Dij haren hom aal n zetje lekker tou leken.
De kerkracht stoof het bankje uit en Vriesmoa greep de hypocriet.;Kerkeroad stoof bankje oet en Vriesemoa greep heukel.
Dominee en;Domie en
De willems die op de zeilbank stonden te wijden zag hoe de mensen met zegebok voorlopen en al de anderen achter met de spullen de kerk uit gingen.;Willems dij op zied baang stonden te weden zagen hou köster mit zegebok veurop en aal aander der achter mit t spul kerk oet gingen.
Het schaap met het lam stond stil in de hoek te kijken en te zweren.;Schoap mit lammer stond stil ien houk te kieken en mog blieven.
De prut bleef ruilen en de boom werd wat laider aangestoken.;Dainst bleef ruier en boom wer wat loader aan stoken.
En Josef en Maria hebben de dingen gered.;En Josef en Maria hebben t spul red.
Zo mooi als zij beiden dat deden.;Zo mooi as dij baaid dat deden.
Herders deden hun verhaaltje, wijzen gaven cadeaus en engelen hadden in geen jaren zo enorm mooi gezongen.;Herders deden heur verhoaltje, wiezen gaven kedoos en engeln haren ien gain joaren zo aibels schier zongen.
De vader bedankte iedereen die zijn best gedaan had en toen kregen de kinderen een boekje en een afbeelding.;Domie bedankte elk dij zien best doan haar en dou kregen kiender n boukje en n abbelsien.
En vroeger bij het omreken was er nog chocolademelk.;En noatied bie t omtrekken was der nog sukkeloamelk.
Aan het einde van het feest hoorden ze allemaal Oaltje verschrikkelijk schreeuwen en schreeuwen.;Aan t ende van feest heurden ze apmoal Oaltje vrezelk gilpen en schraiwen.
Hij wilde niet zonder haar pop naar huis en ze pakte hem uit de krubbe.;Dij wol nait zunder heur pop noar hoes en haar hom pakt oet t krubke.
Grote schrik en verbazing en zij was niet te bedenken.;Grode schrik en konsternoatsie en zai was nait te bedoaren.
een verschrikkelijke arme verdriet.;n Vrezelk aarm verdrait.
een week later kon Oaltje met de hoofd van de zondagschool een nieuwe pop uitzoeken.;n Week loader mog Oaltje mit juf van zundagschoul n nije pop oetzuiken.
De dominee dacht dat hij komend jaar maar geen last meer zou hebben van het kerstfeest.;Domie docht ankomend joar mor gain baisten meer bie t kerstspul.
En de boom moest maar weer op het oud staan.;En boom mos mor weer op t ol stee.
Zijn we nooit van elkaar af te denken;Binnen nooit oet nkanders dinken
Mannen als wij verbieden woorden;Man as ve proten stoeken woorden
Wat ver weg nog zacht is, wordt stoer bij hoekeg en hard;Wat wied vot nog waik is wordt stoef bie houkeg en haard
Het leven tussen ons is verlopen zonder einde;Levent völ tussen ons in verwaaid zunder ènde
Na we leegstaald zijn en terug uit de tijd zijn we achter voltooideuren aan geweest;Nöst wui lege staal en ais oet tied reer ve achter voldeure
Voel we ons verlaten en komen er woorden (Kinnen elkaar nooit vergeten de ruimte waarna men gebonden is gebleven) 27 augustus 2009;Vuil ve ons verloaten en kommen der woorden (Kinnen nkander nooit vergeten ruumte hef nomen man binden is bleven) 27 augustus 2009
De nieuwe wegen zijn 9 t;Nije wegen 9 t
Veel zij niet toe, dat de grasmien.;Viel heur nait tou, dat grasmaaien.
Wat een zwaar werk was dat.;Wat n zwoar waark was dat.
Ze zou zich niet laten weten, doorzetten.;Ze zol zuk nait kennen loaten, deurzetten.
Het moest er vandaag nog af.;t Mos der vandoag nog oaf.
Aans namen de kinderen het toch weer uit hun handen.;Aans namen kinder heur t toch weer oet hannen.
En dat is ook wel lief en dat is ook wel goed bedoeld.;En dat is ook wel laif en dat is ook ja goud bedould.
Dat zegt ze ook steeds weer.;Dat zegt ze ook aal weer.
Maar ze leunt altijd op haar kinderen, nee, dat wil ze niet.;Mor aal vot op heur kinder leunen, nee dat wil ze nait.
"""Jennie, meisje,"" haar";"""Jennie, wicht,"" har"
"Gert zei: ""Als je jezelf niet alleen kunt redden, dan moet je het huis huren te verkopen.";"Gert zegd, ""Ast doe die nait redden kinst allain, din most t hoes verkopen hur."
Er zijn genoeg huizen met minder toen en minder werk.;Der binnen genog hoezen mit minder toen en minder waark.
"En er moet voor jou genoeg tijd overblijven om te leven.""";"En der mout veur die genog tied overblieven om te leven."""
Oh, verdomd, nu luipen haar de tranen toch weer over het gezicht.;Ach, verdold, nou luipen heur de troanen toch weer over t gezicht.
Dat gebeurde alleen als ze maar een beetje alleen was en aan Gert dacht.;Dat gebeurde aalvot as ze mor even allinneg was en aan Gert docht.
Het viel niet mee dat Gert weg was.;t Viel nait tou, dat Gert vot was.
Dat ze nu alleen over alles moest nadenken.;Dat ze nou allinneg over alles noadìnken mos.
Dat ze al hun beslissingen moesten maken zonder hem.;Dat ze aal heur beslizzens zunder hom moaken mos.
Ze zet grasmaaier uit en laat haar deel zakken op het stukje muren rondom het bloemenveld.;Ze zet grasmaaier oet en loat zuk deel zakken op t lutje muurtje rondom t bloumpaarkje.
Hier zaten ze toen ze hem ook kon vertellen dat hij papa zou worden.;Hier zaten ze dou ook, dou ze hom vertellen kon, dat e pabbe worden zol.
Ze ziet nog zijn gezicht, verrast, en toen, heel langzaam waren er tranen in zijn ogen komen.;Ze zugt nog zien gezicht, verboasd, en dou, hail langzoam wazzen der troanen in zien ogen kommen.
En deed die laag op zijn gezicht, stralend had hij, stralend.;En dou dij laag op zien gezicht, stroald had e, stroald.
Zo blij als die man daar was.;Zo blied as dij man dou was.
Ze wordt er nog warm van.;Ze wordt der nog waarm van.
De volgende dag was hij begonnen het toenpad te leggen, dan kon het meisje met de dame ook ja in toen staan.;Aanderdoags was e begund t toenpad te leggen, din kon t wichie dammee ook ja in toen stoan.
En dan hoefde ze niet zo moeilijk te schuiven met zo'n kinderwagon door het gras.;En din huifde zai nait zo stoer te schoeven mit zo'n kinderwoagen deur t gras.
Ze kijkt rond.;Ze kiekt rond.
De appelboom die onder is waar de meid is geboren, en de andere boom die een paar jaar later eraan kwam.;Appelboom dij poot is dou t wicht geboren is, en de aandere boom dij n poar joar loater derbie kwam.
Twai meisjes, zijn grootste schatten, zo vertelde hij altijd aan iedereen.;Twai wichter, zien grootste schatten, zo vertelde hai aaltied aan elkenaine.
Zijn meisjes, zijn trots.;Zien wichter, zien tröts.
"De jongens komen vanzelf wel, ik mis ze niet. "" Ze hoort het hem nog zeggen.";"""Jongs kommen vanzulf wel, ik mis ze nait."" Ze heurt t hom nog zeggen."
In de hoes scharrelen de honden wat aan.;In t hok scharreln zien hounder wat aan.
"""Dat hoort erbij op het platteland, hond en een hond,"" was zijn tijdelijke uitspraak altijd.";"""Dat heurt derbie op t pladdelaand, hounder en n hond"", was zien taimke aaltied."
Het lijkt haar zo dicht bij, dat hij naast haar zit.;t Liekt heur hoast zo tou, dat e noast heur zit.
Nee, ze kijkt niet op, dan is ie ja weer weg.;Nee, ze kikt nait op, din is e ja weer vot.
Nee, als ze zo blijft zitten, dan is hij er nog.;Nee, as ze zo zitten blieft, din is e der nog.
Daar is het;Din is t
10 tellen, of hun leven hing ervan af.;10 tellen, of heur leven der van oaf hing.
Of ze daar alles mee kon ongedaan maken, of het dan gewoon niet waar was.;Of ze doar alles mit ongedoan moaken kon, of t din gewoon nait woar was.
En ze wist niet wat ze nu eigenlijk voelde.;En ze wos nait wat ze nou aiglieks vuilde.
Haar verstand zei dat hij dood was.;Heur verstand zee dat e dood was.
En dat wist ze ook wel, maar haar hart, haar lief wou het niet weten.;En dat wis ze ook wel, mor heur haart, heur lief wollen t nait waiten.
Wist er niks van.;Wizzen der niks van.
We wisten er nog steeds niets van.;Wizzen der nog aal niks van.
Elke avond pakt ze ook zijn mes en vork, ook zijn bord.;Elke oavend pakt ze ook zien mes en vörk, ook zien bord.
En zet het dan terug in de kast.;En zet t din terug in kaast.
Aan het einde van de dag blijft ze te ruw uitkijken, en dan voelt haar hart, dat het toch wel heel laat is die dag, zou er iets zijn gebeurd wegens ons?;Aan t ind van de dag blieft ze te t roam oetkieken, en din vuilt heur haart, dat e toch wel hail loat is dij dag, zol der wat gebeurd wezen onnerwegens?
Hun verstand weet wel beter, hij komt niet.;Heur verstand wait wel beter, hai komt nait.
Nu niet, nooit niet.;Nou nait, nooit nait.
Nee, er is niets rondweg.;Nee, der is niks onnerwegens.
Maar hij is er niet, helemaal niet.;Mor hai is der nait, haildaal nait.
Nooit nooit.;Never nooit nait.
Hier in het gras dringt het opeens naar haar deur.;Hier in t gras dringt t opains tot heur deur.
Haar hart voelt wat haar verstand haar al zo lang probeert te vertellen.;Heur haart vuilt wat heur verstand heur aal zo laank pebaaiert te vertellen.
Ze is alleen, bijna alleen.;Ze is allain, hailemoal mouderziel allain.
Ze snokt haar verdriet uit, hoeft niet meer sterk te zijn.;Ze snokt heur verdrait oet, huift nait staark meer te wezen.
Geef haar over aan alle pijn en verdriet.;Geft heur over aan ale pien en verdrait.
Is niet meer sterk en wordt daardoor sterker.;Is nait meer staark en wordt doardeur staarkt.
Wordt gerustgesteld door het zachte gras en de warme zon.;Wordt troost deur t zaachte gras en de waarme zun.
Ga met de rug tegen het muurtje aan zitten en laat de eenzaamheid tot in het diepst van haar gemoed doordringen.;Gaait mit rug tegen t muurtje aan zitten en loat ale ainzoamhaid tot in t daipst van heur gemoud deurdringen.
Staan op de rand van de grote afgrond die aiwegheid wordt genoemd en kijkt tot de diepte in haar eigen eigendom.;Stoit op de raand van de grode oafgrond dij aaiweghaid nuimd wordt en kiekt tot daip in heur aigen aigenhaid.
Weet dat ze deze weg zelf moet gaan en ook zelf kan gaan.;Wait dat ze dizze weg zulf goan mout en ook zulf goan kin.
"""Mijn jongen"" hoort ze zichzelf zeggen, ""dit is mijn weg, die moet ik gaan.";"""Gert mien jong"" heurt ze zuk zeggen, ""dit is mien weg, dij mout ik goan."
"Alleen."" Hilda Schipper-Baptist Wirdum Jan.";"Allain."" Hilda Schipper-Baptist Wirdum jan."
2007 was niet echt zo.;2007 nait echt zo west.
Dan moet ze die grote leegte, die ijzelle koude niet voelen.;Din huift ze dij grode leegte, dij iezelke kolle nait te vuilen.
Zo, zo als het hoort, zo, zo als het altijd geweest is.;Zo, zo as t heurt, zo, zo as t aaltied west het.
Ze strekt zich over de been.;Ze striekt zuk over bain.
Strijkt ze de volleens uit haar spijkerbroek.;Striekt zuk de vollen oet heur spiekerbroek.
Vrijt hij stijf over haar knie, murmert er iets in haar zak.;Vrieft stief over heur knij, vrommelt wat in heur buus.
Geen zakdoek meer, de afwisseling van haar shirt strekt haar over het gezicht, over de ogen.;Weer gain buusdouk, maauw van heur shirt striekt heur over t gezicht, over ogen.
Ze slaat handen voor ogen, opdat er niemand mag zien wat van binnen afspelt.;Ze slagt handen veur ogen, of der gainaine zain mag wat zuk der van binnen oafspeult.
De tranen lopen tussen haar vingers door.;De troanen lopen heur tussen de vingers deur.
De diepe snokken lieten haar hele lichaam schudden.;Daipe snokken loaten heur haile lichoam schudden.
Ze liet zich van het murje afzakken in het zachte gras.;Ze loat zuk van t muurtje oafzakken in t zaachte gras.
Het verdriet is zo groot, hier weet ze geen pad mee.;t Verdrait is zo groot, hier wait ze gain road mit.
Alles heeft ze wel aankend, het wordt ziek van;Alles hèt ze wel aankìnd, t zaik worden van
Gert, het geluid naar het ziekenhuis, zijn chemotherapieën, zijn verdriet, het verdriet van het meisje.;Gert, t geraais noar t zaikenhoes, zien chemokuren, zien verdrait, t verdrait van de wichter.
Al het volk dat lanceerde, moest ieder die op de hoogte bracht worden.;Aal t volk dat laans kwam, elk dij op de hoogte brocht worden mos.
Alles had ze aankend.;Alles had ze aankìnd.
Laat het duidelijk worden dat;Dou t dudelk wer dat
Muziek uitgezocht, adres opgezocht.;Muziek oetzöcht, adrezzen opzöcht.
Sterk was ze west, steeds sterker.;Staark was ze west, aal doage staark.
Voor haar kinderen, voor de familie, voor de vrienden.;Veur heur kinder, veur de femilie, veur de vrunden.
Elke keer had ze gezegd hoe sterk ze toch wel was.;Elk haar aalweer zegd hou staark ze toch wel was.
Zo had ze zich ook gevoeld, sterk.;Zo had ze zuk ook vuild, staark.
Ze dacht ook altijd dat Gert dat zo wild had, dat zij sterk moest zijn.;Ze docht ook aal dat Gert dat zo wild haar, dat zai staark wezen mos.
Sterk.;Staark.
Vooral voor de kinderen, want zij zijn ook nog jong, en zij missen hun vader toch ook zo veel.;Veuraal veur de kinder, want dij binnen ook nog jong, en dij missen heur pabbe toch ook zoveul.
Ze wilde, ze zou, ze moest verder.;Ze wol, ze zol, ze mos wieder.
Ik kon niet stilstaan bij wat er gebeurd was.;Kon nait stilstoan blieven bie wat der gebeurd was.
Het leven ging verder.;t Leven ging verder.
Het Dagelkse ouddagelste ging gewoon zijn gang.;t Doagelkse alderdoagelkste ging gewoon zien gang.
Het gras groeide, de bloemen bloedigden, de regen viel, de zon kwam op en ging weer onder.;Gras gruide, bloumen bluiden, regen viel, zun kwam op en ging weer onder.
Eerst telde ze de minuten, nu was hij zeventien minuten dood.;Eerst telde ze de minuten, nou was e zeuventien minuten dood.
Doe alweer één dag en drije uur.;Dou al weer ain dag en drai uur.
Later telde ze de weken en op één moment was het maar vier maanden en drie dagen en twintig minuten.;Loater telde ze de weken en dou op aineg memìnt was t aal vaaier moand en drai doagen en twinteg menuten.
Ze bleef;Ze bleef
Metamorfose in;Metamorfose ien
Het is winter;Winter
Diepvroren sporen laden het land op over de weeker waaiern weggelegd uit over het stuk ongeploogd baitland rij ingeschoten door het zware raaipje van de grondgebruiker;Daipvroren sporen laaiden t laand op over doeker waaiern vandoar oet over t stuk ongeplougde baitelaand rij inspoord deur t zwoare raif van grondgebroeker
De slootrecht ligt in de bouw op de hoge rand van de weg;Slootroegte ligt ien bulten op hoge walekaant
IJsbeconde sporen lopen over het brede land hier en daar breedder en randen iets hoger in de rijl naar het wanker tou en dus weerom naar de andere kant;Iesbebonkte sporen lopen over t bragelg laand hier en doar braider en raanden wat hoger ien ril noar wenakker tou en vandoar weerom noar aander kaant
In de ramen rillen de harde werven en de koude plaatsen liggen stil;Ien t vraizen rillen haard worden en kolle plazzen liggen stil
Juist in de wintertijd is het de natuur die zijn rijke gang daar gaat;Juust ien wintertied is t netuur dij zien vraide gang doar gaait
Langs het slot staat een eenzame gebergde boom die heel eensame is;Laangs sloot staait n ainzoame pijgerde boom hail desoloat n
"Gewoon haast gaat er nog steeds van de deur; verdwijnt in tijdigheid de dikke kans dat de winterde dood ook de arme baas wacht staat";"Hoamele hoas gaait der nog vandeur; verdwient ien diezeghaid dik kaans dat winterse dood ok t aarme baist te wachten staait"
Dan trekt de hal dicht en begint het fluisterende wit te vlokken begint het sneeuw van het land een prachtig schilderij te maken;Dan trekt t aal dicht en begunt t fluusternd wit te vlokken begunt snij van t laand n prachteg schilderij te moaken
's Dags is het helder en ligt het kunstwerk waar hij bij afrekening bij gister vergeleken is, herkent men het hele stuk land niet meer;Aanderdoags is t helder en ligt t kunstwaark der duroabel heer bie guster vergeleken herken je t hail stuk laand nait meer
Waar ik gisteren in het verdrietige gruwe land was, zag ik vergeefs nog, toen de nacht me onverwachts herinnerde dat de schijn van sneeuwwoud winter bracht;Woar k guster ien t verdraitege graauwe laand vergeefs nog noar zöchd’ het nacht mie onverdachts nog dat schiere van snijwidde winter brocht
"De lucht is nu zichtbaar blauw; het wit land wordt door de zon beschenen en maakt het somber van de koude wintertijd daardoor geluidloos verdwijnt";"Lucht nou zichteg blaauw; t widde laand deur zun beschenen en hail t sombere van kolle wintertied doarmit geluudloos verdwenen"
Molen 1-02-09;Molen 1-02-09
12 heden met;12 heden met
Nieuwjaarenacht, wat slaperij en poeierij dronken snuiters die in de bak zaten te wadden, maar sindsdien was alles rustig verloopt.;Nijoarsnacht, wat sleperij en poar smoorbezopen snuiters die ien e bak zet wadden, moar vedder was alles rustig verlopen.
Hij bladert iets door je agenda;Hij bladdert wat deur de agenda van die
Nieuwjaardag en wat er gelezen werd, gaf hem eindelijk een briljant idee.;Nijoarsdag en wat er las, gaf hem ienenend een briljant idee.
Nieuwjaarsduik in de haven van Burum;‘Nieuwsjaarsduik in haven van Burum’.
Daar zouden ze van staan te kijken als er morgenvroeg, met;Doar zollen ze van stoan te kieken as er mörregn, met
Unoxmuts, breedte op de regio-pagina van het;Unoxmuts, breeduut op de regio-bladziede van t
Het nieuwsblad stond.;Nijsblad ston.
Hij dacht niet na, pakte zijn zwembroek uit een kast, vette zich in met vaseline en sprong achter het stuur van de auto.;Hij bedocht zich niet, kreeg zien zwembroek uut e kast, vette zich ien met vaseline en sprong achter t stuur van auto.
Burum, hier komen we, de pasgeboren koning is op zijn weg!;Burum, here we come, the newborn king is on his way!’
De Grote;De‘Grote
De oren kwamen steeds dichterbij en hij kreeg er al meer zin in.;Oren’ kwammen steeds dichterbij en hij kreeg der al meer zin ien.
Een nieuw jaar, een nieuw begin, een frisse duik, een frisse toekomst.;Een nij joar, een nij begun, een frisse duuk, een frisse toekomst.
Tot zijn verrassing was het druk in het hofje.;Tot zien verboazing was t drok ien t hoaventje.
Een vage kennis kreeg hem al meteen in het oog, begon te kniezen, wendde hem het Nieuwjaar af en zei Wat doet dit, wie heeft ooit gezwommen?;Een voage kennis kreeg hem al drekst ien t oog, begon te kniezen, wende hem t nijjoar oaf en zee “Wat zil dit, kistoe wel ooit zwemmen?”
Dat soort slampampioenen zouden hem niet meer te pakken krijgen.;Dat soort slampampers zollen hem niet meer te pakken kriegen.
Als een grote man liep er het bouwnet in en deed zijn trainingspak aan het kapstokje met rugnummer dattien.;As een groot man liep er de bouwkeet ien en dee zien trainingspak aan t kapstokje met rugnummer dattien.
Het nummer 13, dat er van de voorzitter van een ijzvereniging had gekregen, plakte er aan de ene zijkant van zijn zwembroek.;Het nummer 13, dat er van de veurzitter van e iesvereniging kregen had, plakte der aan e ziedkaant van zien zwembroek.
Hij was er helemaal klaar voor.;“Hij was er hielemoal kloar veur”.
Om precies twaalf uur stonden ongeveer vijftig mannen en vrouwen langs de kant van de Diep in Burum.;Om twaaf uur precies stonnen zowat 50 kirrels en vrouwlu langs de kaant van t Diep ien Burum.
De burgemeester schoot met zijn alarmpistool en de hele stuit rende manmoedig naar het water.;De burgemeester schoot met zien alarmpistool en de hiele stoet runde manmoedig noar t wotter.
Hij liep mooi in een kopgroep, zonnetje op de tiende plaats.;Hij liep met mooi ien e kopgroep, zon bietje op t tiende plak.
Nog even spoeken wat beelden van de aflopende drie, vier jaar door het hoofd.;Nog even spoeken wat beelden van de aflopen drie, vier joar deur de kop.
Man, wat had er zijn tijd verloren.;Man, wat had er zien tied verbraand.
De rand van het water is er eerder dan hij had gedacht.;De raand van t wotter is er eerder dan er docht had.
Bedenken is er nu niet meer bij want die 40 mannen achter hem duwen gewoon door.;Bedenken is er nou niet meer bij want die 40 man achter hem duwen gewoon deur.
Hij doet zijn ogen dicht en springt.;Hij dut e ogen dicht en springt.
Vooruit naar het nieuwe leven!;Op noar t nije leven!
Er kon niets meer met hem gebeuren.;Niks kon hem nog gebeuren.
Dit werd zijn jaar.;Dit werd zien joar.
Hij was weer helemaal op zijn kleding en hij zou ze als wat laten zien.;Hij was weer hielemoal op e kladden en hij zol ze es wat loaten zien.
Al die mensen die altijd maar schudden hadden en riepen van dat wordt nooit wat met die jongen, die in 2010 wel anders zouden piepen.;Al die lu die altied moar schudkopt hadden en riepen van “dat wordt nooit wat met dat jong”, die zollen ien 2010 wel aanders piepen.
Het nieuwe IK was geboren of kon je beter over herboren praten.;De nije IK was geboren of kon je beter proaten over herboren.
Hij keek om zich heen en begon met fluitje de halfloze glazen en flessen en halfvol asbakken en bakjes pinda's op te roemen.;Hij keek om zich henne en begon fluitend de halflege gloazen en flessen en halfvolle asbakken en bakjes pinda’s op te rumen.
De brakke smaak die de alcohol van de nieuwjaarsnacht in zijn mond achtergelaten had, werd verdrongen met een stukje droge worst, die er eerst nog even door de mosterd streek.;De brakke smoak die de alcohol van nijjoarsnacht ien zien mond achterloaten had, werd verdrongen met een stukje dreuge worst, die der eerst nog even deur de mosterd streek.
Waar ben je geweest, waar is je geweest? Gekant stoof er door de kamer en een half uur later was er niets meer van de verwoesting te zien.;“Woar gijst henne, woar kost vot” sjanterend stoof er deur de koamer en een haalf uurke loater was er van de ravage niks meer te zien.
Hij zet de televisie aan en zapte naar het Teletext-kanaal van het Noorden.;Hij zet e tillevisie aan en zapte noar t Teletext-kanoal van Noord.
Er zijn niets bijzonders...;Niks gien biezunder-
Gezien zijn kleinzoon had hij een konijnetje, dat hij eens op de rommelmarkt in het dorp had gekocht voor een kwartje.;Gezienus zien zeuntje haar n knientje, dij e ais op rommelmaarkt ien t dörp kocht haar veur n kwartje.
Het was een van de twee jongbissen van zes weken oud en de jongen was er wild op geweest.;t Was ain van twij jongbaistjes van zès weken old en t jong was der wild op west.
Toen hij bij zijn moeder geen gehoor had van wat hij wilde kopen, gaf hij het niet op en zei zijn vader net zo lang aan zijn hoofd dat hij toe gaf.;Dou e bie zien moeke gain geheur von dou hai hom kopen wol, gaf e t nait op en zeurde zien pa net zo laank aan kop dat dij tou gaf.
Hij vond het ergens wel leuk dat de jongens een dier wilden hebben.;Dij von t aargens zulf ook wel schier dat t leujong n daaier hebben wol.
Hij moest toch toezeggen dat hij het best zelf zou geven te eten en ook uit te missen.;Hai mos pa wel touzeggen dat e t baist zulf vreten geven zol en ook oetmizzen.
Nou, dat was vanzelfsprekend toegestaan.;Nou, dat was vanzulf votdoadelk touzegd.
Moeder zei nog tegen Gezienus dat hij er maar op rekende, maar dat hij zelf voor het dier zou opdraaien.;Moeke zee nog tegen Gezienus dat e der mor op reken mos dat hai zulf veur t daaier opdraaien zol.
Maar de handel ging door en de jongen was de eerste dagen altijd met het baastje in de trek.;Mor handel ging deur en t jong was eerste doagen aalvot mit t baistje ien tril.
Knie kreeg Zwartje als naam, omdat hij volledig zwart was.;Knien kreeg Swartje as noam, omreden hai hailendaal swaart was.
Een andere jongen uit het dorp kocht het andere pakje, maar dat had hij er na een paar maanden al in gedaan.;n Aander jonkje oet t dörp kocht t aander baistje, mor dij haar t ter noa n poar moand al tou doan.
Opa timmerde een hoek voor;Opa timmerde n hok veur
Het zwarte en de buurman die er ook zijn slinger aan had, timmerde een goazen ren in elkaar.;Swartje en noaber dij der ook zien slinger aan haar, timmerde n goazen ren ien mekoar.
De eerste dagen waren er geen actie, maar toen de hoek uitmis werd, werd de liefde van het jongetje al iets kleiner.;Eerste doagen waren der gain aksies, mor dou t hok oetmist worden mos, wer laifde van t jong al wat minder groot.
Dat had ie immers nooit gedacht, dat die boedel zo zou stinken en toch wel erg smerig was, met die ijzer en eedels.;Dat haar e ja nooit docht, dat dij boudel zo stinken zol en toch wel slim smereg was, mit dij jier en keudels.
Met een handgreep met lange stoel en met de oude heer zijn werkhandschoenen aan werd het werk toch afgehandeld, maar het duurde al niet lang meer;Mit n greep mit laange stoal en mit ol heer zien waarkhandschounen aan werd klus toch kloard, mor t duurde al nait laank meer of
Zijn uiterlijk draaide zich voor.;Gezienus draaide der zulf veur op.
Het kind moest net huiswerk maken of net een bosschop doen of voetballen, precies toen het weer tijd was om uit te missen.;t Jong mos net hoeswaark moaken of net n bosschop doun of voetbalen, aaid krekt as t weer tied van oetmizzen was.
Ook mos vader steeds vaker vraagt of de jongen het konijn wel gevoerd had.;Ook mos pa aal voaker vroagen of jong t knien wel vouerd haar.
"Het zwartje buiten was in de ren in de zomer was het niet droog; niet voor het vee en niet voor het brood.";"Swartje boeten was ien ren ien summer was t gain dorie; nait veur t vouern en nait veur t missen."
het knalpunt laag hem vooral in het winterseizoen wanneer het bad onbedekt was in het achterhuis.;t Knelpunt laag hom veuraal ien wintertied as t baist onnerdak was ien t achterhoes.
Maar de jongen was er verder nog altijd wijs mee en speelde vaak met Zwartje.;Mor t jong was der wieder nog altied wies mit en speulde voak mit Swartje.
Hij liet zich den uitrennen en de knien kon vrijdoor toen stelen.;Hai hoalde hom den oet ren en knien kon vrij deur toen strunen.
Of en toe verdween het baardje wel eens tussen de stroeken, maar hij 13 kwam altijd weer luchtig terug.;Of en tou verswon t baistje wel ais tussen stroeken, mor hai 13 kwam altied weer luchteg springend terug.
In tegenstelling tot zijn broertje werd Zwartje ouder en ouder.;Ien tegenstellen tot zien bruiertje werd Swartje older en older.
De jongen ook vanzelf en die kreeg het ook drukker met voetballen en met leren, zodat;t Jong ook vanzulf en dij kreeg t ook drokker mit voetballen en mit leren, zodat
Gezien is hij eigenlijk heel lang voor het lijf opgedraaid.;Gezienus aiglieks hailendaal veur t baist opdraaien dee.
Hij had het er wel eens over dat het beest op een duur maar goed moest, dou;Hai haar t er wel ais over dat t baist op n duur mor vot mos, dou
Het zwartje werd ouder en niet vanzelf overleed.;Swartje older wer en nait vanzulf dood ging.
Het dier was op een gegeven moment al een jaar of acht geweest en nog zo gezond als een vis in het water.;t Baist was op n duur al n joar of aacht west en nog zo sond as n vis ien t wotter.
Maar toen ging de konijnenzaakt rond.;Mor dou ging knienezaikte rond.
De jongen zat voor het examen toen Zwartje ziek werd en kop vol zilver kreeg.;Jong zat veur t eksoamen dou Swartje zaik wer en kop vol swelderij kreeg.
De ogen waren helemaal dicht.;Ogen waren haildaal tou.
Vader dacht dat het knuffel maar afgemaakt moest worden om van lijden gered te worden, maar dat ging jong en zelfs moeder veel te ver.;Pa docht dat t knien mor òfmoakt worden mos om oet lieden verlöst te wezen, mor dat ging jong en zulfs moeke veul te wied.
Nee, het baist moest en zou naar de dierenarts om te laten kijken of er iets aan te doen was.;Nee, t baist mos en zol noar veearts om kieken te loaten of der wat aan te doun was.
"De jongen moest vanzelf het huiswerk doen; mama zei dat het de taak van de vader was om mee te omgaan";"Jong mos vanzulf hoeswaark doun; moeke zee dat t pa zien toak was om mit"
Het was zwart naar de dierenarts te gaan en daarmee was het besloten.;Swartje noar veearts te goan en doarmit was t beslist.
De bliksem zat;Zodounde zat
Gezien op een avond na het warme etentje;Gezienus op n oavend noa t waarm eten mit
De zwarte in een doos op zijn knie bij de dierenarts in de wachtkamer.;Swartje ien n deus op knijen bie veearts ien wachtkoamer.
het ging daar achteruit om hem.;t Ging der doar nuver om heer.
